Name	symbol	omega	dN	tau	organ	end
ENSG00000183035	CYLC1	0.7469969652277031	0.4049970007993279	1.0	Testis	fast
ENSG00000153498	SPACA7	0.7221861699714538	0.4822038637328991	0.9997214215270654	Testis	fast
ENSG00000248099	INSL3	0.7046593910280821	0.6748606075098222	0.9020070037354976	Testis	fast
ENSG00000177414	UBE2U	0.6970984825227233	0.3961361646618777	0.9954801350798024	Testis	fast
ENSG00000154040	CABYR	0.6581149665266202	0.207100383893436	0.8696839412445866	Testis	fast
ENSG00000120498	TEX11	0.654313691083703	0.2976526619413276	0.9605096006324264	Testis	fast
ENSG00000203933	CXorf66	0.651243728634681	0.5189724961248315	0.9994878781837226	Testis	fast
ENSG00000149609	C20orf144	0.6154824332807606	0.3428183124494971	0.991051612326058	Testis	fast
ENSG00000063127	SLC6A16	0.6142385917735549	0.3860976954968546	0.6798381479803978	Testis	fast
ENSG00000157653	C9orf43	0.6110219123807634	0.4290713592772045	0.883529184675345	Testis	fast
ENSG00000203963	C1orf141	0.6048142988988571	0.4520152816282174	0.9932017819829576	Testis	fast
ENSG00000189139	FSCB	0.6043818627741359	0.4102320620363794	1.0	Testis	fast
ENSG00000188229	TUBB4B	0.001456836968202	0.0009647854683048	0.3054889421176313	Testis	slow
ENSG00000066032	CTNNA2	0.0023785743397568	0.0013606474364626	0.8742359102868892	Testis	slow
ENSG00000114349	GNAT1	0.0031103311931669	0.0024325989296705	0.9760513920867088	Testis	slow
ENSG00000171956	FOXB1	0.003222570536524	0.0013593116543781	0.969236968688609	Testis	slow
ENSG00000107105	ELAVL2	0.0051375791878141	0.0011109055909994	0.9059418491693606	Testis	slow
ENSG00000159217	IGF2BP1	0.0055083628139072	0.0037655407329071	0.990344917295818	Testis	slow
ENSG00000185721	DRG1	0.0063842557676632	0.0029550865653333	0.340055190972409	Testis	slow
ENSG00000161594	KLHL10	0.0088452668352229	0.0048848742119722	0.8991827160479586	Testis	slow
ENSG00000126583	PRKCG	0.0089703264891041	0.0059332046704249	0.9119479513112316	Testis	slow
ENSG00000136535	TBR1	0.0107457133424956	0.0025630097561413	0.9694490462142312	Testis	slow
ENSG00000125207	PIWIL1	0.011644591566164	0.0251633225991784	0.9850729976691766	Testis	slow
ENSG00000106689	LHX2	0.0121726630097123	0.0053201145227442	0.9534149150394948	Testis	slow
ENSG00000156234	CXCL13	0.8387864181593484	0.4388292736116458	0.917435732473434	Spleen	fast
ENSG00000121594	CD80	0.6366944702323801	0.4417551909805112	0.8683348337593083	Spleen	fast
ENSG00000124731	TREM1	0.6338403168697929	0.4406229533849572	0.8922867075986026	Spleen	fast
ENSG00000143297	FCRL5	0.581144578000507	0.5373289409773886	0.9165810662495132	Spleen	fast
ENSG00000137101	CD72	0.5536018277662444	0.3331051329790367	0.7444371009588695	Spleen	fast
ENSG00000179088	C12orf42	0.5525805486883002	0.3861625899944082	0.9773739471223918	Spleen	fast
ENSG00000203710	CR1	0.5135500978690423	0.4582236836978006	0.8419058346271261	Spleen	fast
ENSG00000172322	CLEC12A	0.4932717756594293	0.3789366416778423	0.7981497802537547	Spleen	fast
ENSG00000163534	FCRL1	0.4883034328632928	0.3418957105212392	0.9384520965757196	Spleen	fast
ENSG00000100721	TCL1A	0.4844305342933363	0.3905000495341113	0.943293497820084	Spleen	fast
ENSG00000105369	CD79A	0.4674209528663696	0.5270650517740388	0.8464601294414165	Spleen	fast
ENSG00000121895	TMEM156	0.4577985630782437	0.3119960296127723	0.8671011372007935	Spleen	fast
ENSG00000196092	PAX5	0.0090585691247113	0.0033975143038125	0.9575499022181928	Spleen	slow
ENSG00000136490	LIMD2	0.0257825366154224	0.0168168480418742	0.587752519372614	Spleen	slow
ENSG00000107807	TLX1	0.0271415536043999	0.013655361286323	0.9641395103503414	Spleen	slow
ENSG00000124721	DNAH8	0.0327294001626613	0.0434814454631364	0.9802626392667072	Spleen	slow
ENSG00000213578	CPLX3	0.0330434157103693	0.0191616261749647	0.8136721261740871	Spleen	slow
ENSG00000122122	SASH3	0.0471353814388812	0.0246656097712754	0.6551634929061698	Spleen	slow
ENSG00000163154	TNFAIP8L2	0.0486853644917284	0.0343899783720916	0.6737909688859604	Spleen	slow
ENSG00000164867	NOS3	0.0510569292205229	0.0281793837120772	0.5437788902284694	Spleen	slow
ENSG00000102879	CORO1A	0.0555784388761862	0.0277313899220201	0.5584972447951027	Spleen	slow
ENSG00000136931	NR5A1	0.05932669363599	0.0320070010181806	0.8949178395147018	Spleen	slow
ENSG00000092067	CEBPE	0.0600051127440564	0.0305508475029114	0.9323714433932638	Spleen	slow
ENSG00000072818	ACAP1	0.0645204287589716	0.0357488551498281	0.6244644855947602	Spleen	slow
ENSG00000124731	TREM1	0.6338403168697929	0.4406229533849572	0.8922867075986026	Blood	fast
ENSG00000203710	CR1	0.5135500978690423	0.4582236836978006	0.8419058346271261	Blood	fast
ENSG00000110876	SELPLG	0.5075289292933044	0.35201781857481	0.7028847830941465	Blood	fast
ENSG00000164047	CAMP	0.49768206586737	0.2700094317231479	0.8919099744329992	Blood	fast
ENSG00000172322	CLEC12A	0.4932717756594293	0.3789366416778423	0.7981497802537547	Blood	fast
ENSG00000163534	FCRL1	0.4883034328632928	0.3418957105212392	0.9384520965757196	Blood	fast
ENSG00000101425	BPI	0.4849514922008843	0.3429179983316788	0.8715183516248237	Blood	fast
ENSG00000100721	TCL1A	0.4844305342933363	0.3905000495341113	0.943293497820084	Blood	fast
ENSG00000105369	CD79A	0.4674209528663696	0.5270650517740388	0.8464601294414165	Blood	fast
ENSG00000099985	OSM	0.4661487045728168	0.3963798178610266	0.820966937818485	Blood	fast
ENSG00000112195	TREML2	0.4540645640805687	0.3328734619951956	0.9259424794924414	Blood	fast
ENSG00000104918	RETN	0.4536368168835052	0.3891757783286521	0.8852065493464746	Blood	fast
ENSG00000136167	LCP1	0.0238732263785414	0.0151225194342207	0.6033485402611987	Blood	slow
ENSG00000136490	LIMD2	0.0257825366154224	0.0168168480418742	0.587752519372614	Blood	slow
ENSG00000100504	PYGL	0.0442153357435415	0.0270815298112177	0.4667000357757316	Blood	slow
ENSG00000122122	SASH3	0.0471353814388812	0.0246656097712754	0.6551634929061698	Blood	slow
ENSG00000163154	TNFAIP8L2	0.0486853644917284	0.0343899783720916	0.6737909688859604	Blood	slow
ENSG00000102879	CORO1A	0.0555784388761862	0.0277313899220201	0.5584972447951027	Blood	slow
ENSG00000092067	CEBPE	0.0600051127440564	0.0305508475029114	0.9323714433932638	Blood	slow
ENSG00000059728	MXD1	0.0612057629951941	0.0592457676917268	0.5599241867357381	Blood	slow
ENSG00000072818	ACAP1	0.0645204287589716	0.0357488551498281	0.6244644855947602	Blood	slow
ENSG00000198336	MYL4	0.0785616677841437	0.0481899968135388	0.9021160173923124	Blood	slow
ENSG00000198858	R3HDM4	0.0821143932867891	0.0794469212635388	0.4212554304385034	Blood	slow
ENSG00000132965	ALOX5AP	0.0857254431718349	0.0696511598909013	0.6424599483989061	Blood	slow
ENSG00000121594	CD80	0.6366944702323801	0.4417551909805112	0.8683348337593083	Lung	fast
ENSG00000124731	TREM1	0.6338403168697929	0.4406229533849572	0.8922867075986026	Lung	fast
ENSG00000123838	C4BPA	0.5754386302174945	0.3401878572065886	0.9351298049452444	Lung	fast
ENSG00000168631	MUCL3	0.5165713346224583	0.636215271803735	0.9633432829391164	Lung	fast
ENSG00000172322	CLEC12A	0.4932717756594293	0.3789366416778423	0.7981497802537547	Lung	fast
ENSG00000163534	FCRL1	0.4883034328632928	0.3418957105212392	0.9384520965757196	Lung	fast
ENSG00000104918	RETN	0.4536368168835052	0.3891757783286521	0.8852065493464746	Lung	fast
ENSG00000188817	SNTN	0.4450120573606582	0.1544721419952832	0.9670112596128104	Lung	fast
ENSG00000164400	CSF2	0.4424180665682357	0.294805501908407	0.9899081327911944	Lung	fast
ENSG00000160401	CFAP157	0.430546123827065	0.2216303990152783	0.7872578683431609	Lung	fast
ENSG00000186407	CD300E	0.4264091304829895	0.281449026183399	0.838735263498436	Lung	fast
ENSG00000169064	ZBBX	0.4255545981224201	0.2649043582676152	0.9441224098105884	Lung	fast
ENSG00000155511	GRIA1	0.0113346542516907	0.0063535664741191	0.8660750347364948	Lung	slow
ENSG00000144285	SCN1A	0.0155148165803634	0.0091188690611031	0.946538012743845	Lung	slow
ENSG00000136352	NKX2-1	0.0213288023184301	0.0071514248632499	0.967615430764052	Lung	slow
ENSG00000102104	RS1	0.0239465675644313	0.0173251207112946	0.9903843561537692	Lung	slow
ENSG00000121075	TBX4	0.0652891327714182	0.0331822645834117	0.9409583704928184	Lung	slow
ENSG00000114113	RBP2	0.0709504759594596	0.0500724121197617	0.9582794117261896	Lung	slow
ENSG00000123405	NFE2	0.0951824386695169	0.0602966276885723	0.8861913363734633	Lung	slow
ENSG00000018280	SLC11A1	0.0996008469678024	0.0707508878170407	0.6620007903279899	Lung	slow
ENSG00000108576	SLC6A4	0.1038827866814963	0.0626165774815505	0.928829892898294	Lung	slow
ENSG00000163421	PROK2	0.1070337976668639	0.0714400466246185	0.8999625385503113	Lung	slow
ENSG00000166961	MS4A15	0.1092295625448151	0.0799977866553534	0.9897045715128284	Lung	slow
ENSG00000148677	ANKRD1	0.1137916665968523	0.0644378739449455	0.9011622571614608	Lung	slow
ENSG00000187094	CCK	0.5041978708668123	0.399915286555633	0.8697643692604871	Brain	fast
ENSG00000181215	C4orf50	0.441735402424991	0.382057843544887	0.9455132735778116	Brain	fast
ENSG00000169064	ZBBX	0.4255545981224201	0.2649043582676152	0.9441224098105884	Brain	fast
ENSG00000197430	OPALIN	0.4213397683690366	0.5640908872646224	0.9491362895720188	Brain	fast
ENSG00000170091	NSG2	0.4181865707961382	0.4443922414042007	0.8608448449213371	Brain	fast
ENSG00000165643	SOHLH1	0.4111929596246833	0.4278671188304901	0.9442656193211152	Brain	fast
ENSG00000188674	C2orf80	0.3507661151821067	0.2096105585809425	0.9739667511303508	Brain	fast
ENSG00000105278	ZFR2	0.338476926646866	0.3189145386936717	0.8982941784344468	Brain	fast
ENSG00000101327	PDYN	0.3355674142590704	0.2235719155419431	0.9698059420103726	Brain	fast
ENSG00000204278	TMEM235	0.3327118221361032	0.1851631287783685	0.9556966207414048	Brain	fast
ENSG00000132026	RTBDN	0.3265218001337594	0.2450810541250961	0.9458424657646236	Brain	fast
ENSG00000198883	PNMA5	0.3224063781326668	0.2787388078067897	0.93364526604534	Brain	fast
ENSG00000077080	ACTL6B	0.002361166005916	0.0010186758781664	0.9217311771203316	Brain	slow
ENSG00000066032	CTNNA2	0.0023785743397568	0.0013606474364626	0.8742359102868892	Brain	slow
ENSG00000172461	FUT9	0.0039899596040477	0.0023405519288065	0.923461641119607	Brain	slow
ENSG00000198914	POU3F3	0.0041788513490561	0.001795870358216	0.870577605551062	Brain	slow
ENSG00000176049	JAKMIP2	0.0047019630583168	0.0030927878878965	0.8301067752408858	Brain	slow
ENSG00000145864	GABRB2	0.0050603011905429	0.0025199519716857	0.93766339873624	Brain	slow
ENSG00000116983	HPCAL4	0.0051311045642472	0.0021818197205128	0.8732753146851606	Brain	slow
ENSG00000107105	ELAVL2	0.0051375791878141	0.0011109055909994	0.9059418491693606	Brain	slow
ENSG00000152578	GRIA4	0.0055251011931712	0.0026186346234179	0.9044502825112818	Brain	slow
ENSG00000122584	NXPH1	0.0072957913298233	0.003137259476494	0.9344298858801976	Brain	slow
ENSG00000165023	DIRAS2	0.0076270222767322	0.0042659197838996	0.9234858138577255	Brain	slow
ENSG00000157542	KCNJ6	0.0081504027331227	0.0050787395696825	0.9442945346858618	Brain	slow
ENSG00000180834	MAP6D1	0.6093568203249067	0.4034497934073521	0.7115753188075505	Cerebellum	fast
ENSG00000116035	VAX2	0.5392198476078316	0.48195718251597	0.7953187061087754	Cerebellum	fast
ENSG00000184599	TAFA3	0.5358429349695707	0.3423691302195442	0.9285618337212042	Cerebellum	fast
ENSG00000135549	PKIB	0.48102475061919	0.2525509245814137	0.809339100954619	Cerebellum	fast
ENSG00000170091	NSG2	0.4181865707961382	0.4443922414042007	0.8608448449213371	Cerebellum	fast
