design_id	struct_conf	iptm	min_iface_pae
pres_PvYZFrjD782FezfekTo4	0.134	0.769	5.32
pres_qMQ7ladM9BlSxNbO3xCl	0.029	0.722	7.35
pres_HeultpNAqumbF5QMUuGq	0.038	0.697	8.04
pres_F9kfRD4teKINHV1qA4d9	0.09	0.694	7.77
pres_4VRLkI7IfXI7eYydz6Xz	0.063	0.685	8.36
pres_jGtl4QCoQd3bIGVMd5RZ	0.149	0.684	8.41
pres_AdxmiPIgannCAS59F6MH	0.045	0.681	8.48
pres_phAM0uADQt4FNKPpak2N	0.085	0.672	8.71
pres_G6acv26PPQIX4ptfuRyC	0.044	0.658	9.24
pres_ofEKV36ooqcmPxE53FCx	0.02	0.568	12.19
pres_lS3stHh4iJ3CHG4xNx7H	0.02	0.559	11.53
pres_tQzIXkEvAppL3EFzC5no	0.004	0.542	11.99
pres_5DfU4aV3bQyqFKEMqXEI	0.006	0.514	12.98
pres_FmumJy4fviIcrU0VsTC7	0.007	0.507	13.11
pres_17BQGslEROxDCg9HupsF	0.007	0.485	14.09
pres_SLpcMgZbQnVeY1cfza5r	0.008	0.453	14.92
pres_56MaCgxeYMTo8vGReTp3	0.001	0.451	13.34
pres_I38e5tQL76mutzoqWB7q	0.001	0.425	15.23
pres_qIrs70FYcYgRnm66rzYz	0.002	0.417	16.96
pres_6ZFlpI1BsXcxUF6OXbtk	0.001	0.368	17.7
pres_pokMlO7hZMjqondBUENa	0.001	0.363	17.13
pres_gaqLlrmk5SpOQBK4qt39	0.001	0.333	18.6
pres_Z1ZvUFVVF14PQdngueMm	0	0.326	18.55
pres_htDUprd2dRtzGPT2j6Zy	0.001	0.317	19.6
pres_WwQQHgTfH0c7LR74m3Ie	0.001	0.314	19.43
pres_CJ0lWj1p8JG9bpWLF4wb	0.001	0.314	19.36
pres_Tnl1V67Mw3a4ItgzuZkz	0.001	0.302	19.24
pres_jswqsBLAhlVjWVTKsAor	0.001	0.29	19.47
pres_rBrV8tdFrwX0mkoCnQMv	0.003	0.27	19.74
pres_G81fj0IQmJQnY9doMh75	0	0.122	27.29
