id,round,puzzle,method,SN_filter,design_length,target_openknot_score,ECS_recomputed,CPQ_recomputed,OKS_recomputed,OKS_best_variant,delta,delta_best,n_threshold_ties,tie_swing,RNet_F1,RNet_F1_crossed_pair
W09_13247198_0pad0_libraryready,1,W09,Eterna,1,100,88.875,92.0,82.5,87.25,90.5,-1.625,1.625,0,0.0,0.808510638297872,0.888888888888889
W09_13247202_0pad0_libraryready,1,W09,Eterna,1,100,87.25,88.0,90.0,89.0,89.0,1.75,1.75,0,0.0,0.808510638297872,0.888888888888889
W09_13247980_0pad0_libraryready,1,W09,Eterna,1,100,86.8333333333333,91.0,85.0,88.0,88.0,1.1666666666666998,1.1666666666666998,0,0.0,0.857142857142857,0.878048780487805
W09_13248149_0pad0_libraryready,1,W09,Eterna,1,100,88.4166666666667,91.0,86.66666666666667,88.83333333333334,88.83333333333334,0.416666666666643,0.416666666666643,0,0.0,0.791666666666667,0.864864864864865
W09_13248152_0pad0_libraryready,1,W09,Eterna,1,100,84.25,90.0,80.0,85.0,85.0,0.75,0.75,0,0.0,0.808510638297872,0.888888888888889
W09_13248426_0pad0_libraryready,1,W09,Eterna,1,100,79.25,81.0,80.0,80.5,80.5,1.25,1.25,1,0.5,0.708333333333333,0.842105263157895
W09_13248433_0pad0_libraryready,1,W09,Eterna,1,100,85.9166666666667,88.0,85.0,86.5,86.5,0.5833333333333002,0.5833333333333002,0,0.0,0.816326530612245,0.833333333333333
W09_13248441_0pad0_libraryready,1,W09,Eterna,1,100,87.9583333333333,95.0,82.5,88.75,88.75,0.7916666666666998,0.7916666666666998,0,0.0,0.792452830188679,0.782608695652174
W09_13248465_0pad0_libraryready,1,W09,Eterna,1,100,81.125,85.0,77.5,81.25,81.25,0.125,0.125,0,0.0,0.68,0.761904761904762
W09_13248467_0pad0_libraryready,1,W09,Eterna,1,100,86.9166666666667,89.0,85.0,87.0,87.0,0.08333333333330017,0.08333333333330017,0,0.0,0.807692307692308,0.82051282051282
W09_13248473_0pad0_libraryready,1,W09,Eterna,1,100,89.0416666666667,96.0,82.5,89.25,89.25,0.20833333333330017,0.20833333333330017,0,0.0,0.901960784313726,0.904761904761905
W09_13248475_0pad0_libraryready,1,W09,Eterna,1,100,74.875,63.0,87.5,75.25,75.25,0.375,0.375,0,0.0,0.901960784313726,0.904761904761905
W09_13248484_0pad0_libraryready,1,W09,Eterna,1,100,86.6666666666667,91.0,80.0,85.5,87.83333333333334,-1.1666666666666998,1.166666666666643,0,0.0,0.679245283018868,0.75
