disease	dataset	TAL_pct	n
acute kidney failure	0b75c598	34.46743295019157	19575.0
acute kidney failure	a12ccb9b	13.532787035509358	54549.0
acute kidney failure	dea717d4	18.85394883420955	51167.0
chronic kidney disease	0b75c598	17.281455280444668	7916.0
chronic kidney disease	a12ccb9b	21.949123410106566	127996.0
chronic kidney disease	dea717d4	18.233177677409476	130630.0
normal	09b518f9	14.351618633507437	37717.0
normal	0b4a15a7	22.878871738105488	48783.0
normal	0bae7ebf	0.0	27675.0
normal	2adb1f8a	0.0	45630.0
normal	53d208b0	0.0	11376.0
normal	5af90777	1.2164216928535225	11838.0
normal	60a29d0b	11.672852937412005	7813.0
normal	867757c1	0.0	15140.0
normal	8dc29642	0.0	17962.0
normal	9df60c57	22.191643732799598	19985.0
normal	9ea768a2	1.6762689977153074	40268.0
normal	a12ccb9b	17.72157067720754	122444.0
normal	d7dcfd8f	0.0	27197.0
normal	dea717d4	15.53941908713693	43380.0
normal	e067e5ca	16.666666666666664	8706.0
normal	f7c1c579	0.0	155386.0
normal	f801b7a9	10.886829913964261	6044.0
normal	fd072bc3	0.0	10705.0
