Lipid_name,Helper_lipid_ID,Cargo_type,Model_type,Delivery_target,Route_of_administration
cand_0,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_1,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_2,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_3,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_4,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_5,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_6,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_7,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_8,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_9,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_10,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_11,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_12,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_13,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_14,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_15,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_16,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_17,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_18,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_19,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_20,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_21,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_22,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_23,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_24,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_25,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_26,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_27,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_28,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_29,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_30,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_31,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_32,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_33,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_34,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_35,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_36,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_37,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_38,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_39,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_40,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_41,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_42,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_43,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_44,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_45,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_46,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_47,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_48,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_49,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_50,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_51,DOPE,mRNA,HeLa,generic_cell,in_vitro
cand_52,DOPE,mRNA,HeLa,generic_cell,in_vitro
