ligand_id,smiles,boltz_iptm,boltz_binding_confidence,boltz_structure_confidence,boltz_optimization_score,boltz_ptm,boltz_complex_plddt,boltz_complex_iplddt,adme_solubility,adme_permeability,adme_lipophilicity
L0000,N[C@H](CNc1ncc(-c2ccc3nnn(N)c3c2)s1)Cc1ccc(C(F)(F)F)cc1,0.8956743478775024,0.3250048756599426,0.850888192653656,0.380607545375824,0.8478854894638062,0.8396915793418884,0.8516208529472351,high-confidence,-0.2436123788356781,2.0901851654052734
L0009,CN(C)C1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nn2)CC1,0.877444326877594,0.5562988519668579,0.838651180267334,0.410163551568985,0.8333502411842346,0.8289528489112854,0.8300181031227112,medium-confidence,0.506782591342926,1.3890471458435059
L0016,Cc1cc(Nc2nccc(-c3c(C)[nH]c(C#N)c3C)n2)ccc1F,0.8909171223640442,0.6476931571960449,0.8540986180305481,0.343301385641098,0.8252921104431152,0.8448939919471741,0.8500745892524719,high-risk,1.052114725112915,4.03867244720459
L0015,Cc1[nH]c(C(N)=O)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,0.8950340151786804,0.8306143879890442,0.8690264821052551,0.3887588083744049,0.8348178267478943,0.8625245690345764,0.8837767839431763,medium-confidence,1.0328130722045898,2.9815659523010254
L0001,CN(C)CCOc1ccc(/C=C/c2cc(-c3cc4c(=O)[nH]cnc4[nH]3)ccn2)cc1,0.8223742842674255,0.42823195457458496,0.8360139727592468,0.3387993276119232,0.8287922739982605,0.8394239544868469,0.828315794467926,high-confidence,0.09688134491443634,0.7077541351318359
L0025,CCNC(=O)N1CCC(Nc2nccc(-c3cnc4ccccn34)n2)CC1,0.8813294172286987,0.7285487651824951,0.8518619537353516,0.30129995942115784,0.8388530611991882,0.8444950580596924,0.8529147505760193,high-confidence,0.752328634262085,2.519395351409912
L0006,CS(=O)(=O)Nc1ccc(Nc2cc(-c3cccc(Br)c3)[nH]n2)cc1,0.8922005891799927,0.6618438959121704,0.8517832159996033,0.3296951353549957,0.8248323202133179,0.8416787981987,0.8552768230438232,high-risk,0.7573354244232178,3.1727750301361084
L0056,CC(C)n1cc(-c2ccnc3[nH]c(C4CCN(CC(=O)N5CCCC5)CC4)cc23)ccc1=O,0.8894107341766357,0.8389558792114258,0.8494604229927063,0.4100865125656128,0.8385955095291138,0.8394728302955627,0.8473711013793945,high-confidence,0.5516125559806824,1.792321801185608
L0045,Nc1nccc(-n2ccc3ccc(Cl)cc32)n1,0.8707691431045532,0.2967422306537628,0.8516384959220886,0.2157173603773117,0.83478844165802,0.8468558192253113,0.8449600338935852,medium-confidence,1.218949556350708,2.854761838912964
L0047,Nc1nccc(-n2ccc3ccc(Br)cc32)n1,0.8781731128692627,0.3313017785549164,0.8568825125694275,0.2387450933456421,0.8349369764328003,0.8515598773956299,0.8487793207168579,medium-confidence,1.508063793182373,3.0699636936187744
