tag,n,spearman,rmse,r2,ef5,ef1,within1log,within2fold,dataset,split,qrasar,n_train_frac
,2572,0.8788352230475953,0.5799925615466867,0.7757019315123429,9.302325581395348,46.15384615384615,0.9094090202177294,0.4988335925349922,MIC_E_cloacae,random,False,0.7999999999999999
,2572,0.8778035675171145,0.5827601870542384,0.7735561999687727,8.217054263565892,19.23076923076923,0.9144634525660964,0.505054432348367,MIC_E_cloacae,random,True,0.7999999999999999
,2572,0.8093272721714263,0.7048048495826257,0.6687785503323032,8.682170542635658,19.23076923076923,0.8573094867807154,0.3977449455676516,MIC_E_cloacae,scaffold,False,0.7999999999999999
,2572,0.8002184969496399,0.7276119232129156,0.6469954521675876,7.7519379844961245,11.538461538461538,0.8495334370139969,0.4047433903576983,MIC_E_cloacae,scaffold,True,0.7999999999999999
,2572,0.6681101370477655,0.8965191335786094,0.4640801888487602,4.8062015503875966,7.6923076923076925,0.76049766718507,0.3335925349922239,MIC_E_cloacae,cluster0.4,False,0.7999999999999999
,2572,0.697950773387968,0.9081763025097112,0.4500527722113021,5.116279069767442,19.23076923076923,0.78149300155521,0.3363141524105754,MIC_E_cloacae,cluster0.4,True,0.7999999999999999
,702,0.3924413767324735,1.1306800055976596,0.0685516006835319,2.8571428571428568,14.285714285714285,0.6638176638176638,0.2507122507122507,MIC_E_cloacae,temporal,False,0.7270606531881804
,702,0.4150975696541423,1.1401042748805126,0.0529595606220449,1.1428571428571428,0.0,0.6737891737891738,0.2435897435897435,MIC_E_cloacae,temporal,True,0.7270606531881804
,3403,0.8153012161804268,0.4923431303641529,0.7129228946114576,12.823529411764708,50.0,0.9453423449897148,0.5418748163385249,MIC_H_influenzae,random,False,0.8
,3403,0.8166356953156215,0.4844324453907995,0.7220739603431421,12.705882352941176,52.94117647058823,0.9473993535116074,0.568028210402586,MIC_H_influenzae,random,True,0.8
,3403,0.7432472629649203,0.5816959999168111,0.599267147289267,12.352941176470589,23.52941176470588,0.914193358801058,0.461357625624449,MIC_H_influenzae,scaffold,False,0.8
,3403,0.7366437201002322,0.5855822683343499,0.5938947269239017,13.411764705882351,23.52941176470588,0.9074346165148398,0.4775198354393182,MIC_H_influenzae,scaffold,True,0.8
,3403,0.5402114497826097,0.7367601678402087,0.3571419750858928,10.941176470588236,20.588235294117645,0.8424919188950926,0.3858360270349691,MIC_H_influenzae,cluster0.4,False,0.8
,3403,0.516983618690365,0.779135917246678,0.2810656340895995,7.647058823529411,20.588235294117645,0.8175139582721128,0.3702615339406406,MIC_H_influenzae,cluster0.4,True,0.8
,998,0.2851526094007388,0.8858357223286505,0.058579631139862,8.0,40.0,0.7474949899799599,0.3106212424849699,MIC_H_influenzae,temporal,False,0.706729356450191
,998,0.1867085699540698,0.959975925257094,-0.1055996552804929,7.199999999999999,30.0,0.718436873747495,0.2835671342685371,MIC_H_influenzae,temporal,True,0.706729356450191
,1209,0.7916676435126054,0.8098876897212598,0.629203952878777,10.0,16.666666666666664,0.8271298593879239,0.4243176178660049,NA_influenza,random,False,0.8
,1209,0.7964143487376822,0.8191041404350142,0.6207166810601428,7.666666666666667,16.666666666666664,0.8254755996691481,0.412737799834574,NA_influenza,random,True,0.8
,1209,0.6889964480517503,0.9768609473791432,0.4605502502838878,7.333333333333332,8.333333333333332,0.739454094292804,0.304383788254756,NA_influenza,scaffold,False,0.8
,1209,0.6770287707403146,1.0007074150301978,0.4338914216890601,5.999999999999999,8.333333333333332,0.7270471464019851,0.3159636062861869,NA_influenza,scaffold,True,0.8
,1209,0.5977313520624437,1.0986263746621754,0.3176840210885636,4.333333333333333,8.333333333333332,0.6335814722911497,0.2349048800661703,NA_influenza,cluster0.4,False,0.8
,1209,0.5717396327753783,1.1159865810835794,0.2959500932234676,5.333333333333333,8.333333333333332,0.6559139784946236,0.2539288668320926,NA_influenza,cluster0.4,True,0.8
,341,0.2385038030261106,1.2488080268759327,-0.2662344248651695,2.352941176470588,33.33333333333333,0.4809384164222874,0.1319648093841642,NA_influenza,temporal,False,0.717948717948718
,341,0.2734223633739538,1.1677887523592023,-0.1072643804183255,7.0588235294117645,0.0,0.5953079178885631,0.1759530791788856,NA_influenza,temporal,True,0.717948717948718
,241,0.788495093277519,0.6195284718792853,0.668676153733942,11.666666666666666,0.0,0.9045643153526972,0.4356846473029045,PA_influenza,random,False,0.8
,241,0.810597096157985,0.6021359236092155,0.6870180945670548,10.0,0.0,0.933609958506224,0.4730290456431535,PA_influenza,random,True,0.8
,241,0.7049786914151968,0.7306521760129333,0.5391585673887354,11.666666666666666,0.0,0.8464730290456431,0.3568464730290456,PA_influenza,scaffold,False,0.8
,241,0.7022892910134385,0.7298116139735574,0.540218286387941,10.0,0.0,0.8589211618257261,0.3526970954356846,PA_influenza,scaffold,True,0.8
,241,0.3216139660235296,1.0868502317224122,-0.0196932831878997,0.0,0.0,0.7510373443983402,0.2987551867219917,PA_influenza,cluster0.4,False,0.8
,241,0.3708732021038701,1.0971761732187106,-0.0391611200743793,0.0,0.0,0.7676348547717843,0.3029045643153527,PA_influenza,cluster0.4,True,0.8
,37,0.3226418501262012,1.0349862225496709,-1.553758863385358,0.0,0.0,0.6756756756756757,0.1351351351351351,PA_influenza,temporal,False,0.8464730290456431
,37,0.3043813411517672,1.06598944960448,-1.709047141440251,0.0,0.0,0.6486486486486487,0.1351351351351351,PA_influenza,temporal,True,0.8464730290456431
